death_number,name,cause_of_death,died_in_season,died_in_episode_title,died_in_episode_number
1,Waymar Royce,Killed by White Walker,Season 1,Winter is Coming ,Episode 1
2,Gared,Killed by White Walker,Season 1,Winter is Coming ,Episode 1
3,Will,Executed by Ned Stark,Season 1,Winter is Coming ,Episode 1
4,Jon Arryn,Poisoned by Lysa,Season 1,Winter is Coming ,Episode 1
5,Assassin,Killed by Bran's Wolf,Season 1,The Kingsroad ,Episode 2
6,Mycah,Killed by the Hound,Season 1,The Kingsroad ,Episode 2
7,Ser Hugh,Killed by the Mountain,Season 1,"Cripples, Bastards and Broken Things ",Episode 4
8,Kurleket,Killed by hill tribesmen,Season 1,The Wolf and the Lion ,Episode 5
9,Willis Wode,Killed by hill tribesmen,Season 1,The Wolf and the Lion ,Episode 5
10,Wyl,Killed by Lannister guardsmen,Season 1,The Wolf and the Lion ,Episode 5
11,Heward,Killed by Lannister guardsmen,Season 1,The Wolf and the Lion ,Episode 5
12,Jory Cassel,Killed by Jamie Lannister,Season 1,The Wolf and the Lion ,Episode 5
13,Wallen,Killed by Rob Stark,Season 1,A Golden Crown ,Episode 6
14,Stiv,Kill by Theon Greyjoy,Season 1,A Golden Crown ,Episode 6
15,Vardis Egen,Killed by Bronn,Season 1,A Golden Crown ,Episode 6
16,Viserys Targaryen ,Killed by Khal Drogo,Season 1,A Golden Crown ,Episode 6
17,Wine seller,Dragged behind a Horse,Season 1,You Win or You Die ,Episode 7
18,Robert Baratheon,Killed by a boar,Season 1,You Win or You Die ,Episode 7
19,Vayon Poole,Killed by House Lannister men,Season 1,The Pointy End ,Episode 8
20,Mordane,Killed by House Lannister men,Season 1,The Pointy End ,Episode 8
21,Syrio Forel,Killed by House Lannister men,Season 1,The Pointy End ,Episode 8
22,Stableboy,Killed by Arya,Season 1,The Pointy End ,Episode 8
23,Mago,Killed by Khal Drogo,Season 1,The Pointy End ,Episode 8
24,Othor,Burned by Jon Snow,Season 1,The Pointy End ,Episode 8
25,Qotho,Killed by Jorah Mormont,Season 1,Baelor ,Episode 9
26,Eddard Stark,Executed by Ilyn Payne,Season 1,Baelor ,Episode 9
27,Khal Drogo,Smothered by Daenerys,Season 1,Fire and Blood ,Episode 10
28,Mirri Maz Duur,Burned alive by by Daenerys,Season 1,Fire and Blood ,Episode 10
29,Maester Cressen,Suicide by poison,Season 2,The North Remembers ,Episode 1
30,Barra,killed by Janos Slynt,Season 2,The North Remembers ,Episode 1
31,Rakharo,Killed by Dothrakis,Season 2,The Night Lands ,Episode 2
32,Yoren,killed by Amory Lorch,Season 2,What is Dead May Never Die ,Episode 3
33,Lommy,Killed by Polliver,Season 2,What is Dead May Never Die ,Episode 3
34,Rennick,killed by Robb Stark's wolf,Season 2,Garden of Bones ,Episode 4
35,Lannister guardsmen,killed by Robb Stark's wolf,Season 2,Garden of Bones ,Episode 4
36,Tortured Prisoner,Tortured to death ,Season 2,Garden of Bones ,Episode 4
37,Renly Baratheon,Killed by shadow creature,Season 2,The Ghost of Harrenhal ,Episode 5
38,Emmon Cuy,killed by Brienne of Tarth,Season 2,The Ghost of Harrenhal ,Episode 5
39,Robar Royce,killed by Brienne of Tarth,Season 2,The Ghost of Harrenhal ,Episode 5
40,The Tickler,Killed by Jaqen H'ghar,Season 2,The Ghost of Harrenhal ,Episode 5
41,Rodrik Cassel,Killed by Theon Greyjoy ,Season 2,The Old Gods and the New ,Episode 6
42,The High Septon,Killed by rioters,Season 2,The Old Gods and the New ,Episode 6
43,Armory Lorch,Killed by Jagen H'ghar,Season 2,The Old Gods and the New ,Episode 6
44,Drennan ,Killed by Osha,Season 2,The Old Gods and the New ,Episode 6
45,Irri,Killed by Xaro Xhoan Daxos,Season 2,The Old Gods and the New ,Episode 6
46,Alton Lannister,Killed by Jamie Lannister,Season 2,A Man Without Honor ,Episode 7
47,Torrhen Karstark,Killed by Jamie Lannister,Season 2,A Man Without Honor ,Episode 7
48,Eleven of the Thirteen,Killed by Pyat Pree,Season 2,A Man Without Honor ,Episode 7
49,Billy,Killed by Theon Greyjoy,Season 2,A Man Without Honor ,Episode 7
50,Jack,Killed by Theon Greyjoy,Season 2,A Man Without Honor ,Episode 7
51,Stonesnake,killed by wildlings,Season 2,The Prince of Winterfell ,Episode 8
52,Harker,killed by wildlings,Season 2,The Prince of Winterfell ,Episode 8
53,Borba ,killed by wildlings,Season 2,The Prince of Winterfell ,Episode 8
54,Matthos Seaworth,killed by Wildfire explosion,Season 2,Blackwater ,Episode 9
55,Mandon Moore,killed by Podrik,Season 2,Blackwater ,Episode 9
56,Tom,killed by Brienne of Tarth,Season 2,Valar Morghulis ,Episode 10
57,Maester Luwin,Killed by Dagmer,Season 2,Valar Morghulis ,Episode 10
58,Pyat Pree,Killed by Daenerys' dragons,Season 2,Valar Morghulis ,Episode 10
59,Qhorin,Killed by Jon Snow,Season 2,Valar Morghulis ,Episode 10
60,Doreah,Locked in Xaro Xhoan Daxos' vault,Season 2,Valar Morghulis ,Episode 10
61,Xaro Xhoan Daxos,Locked in his vault,Season 2,Valar Morghulis ,Episode 10
62,Hoster Tully,Old age,Season 3,"Dark Wings, Dark Words ",Episode 2
63,Master Torturer,Killed by Ramsay Snow,Season 3,Walk of Punishment ,Episode 3
64,Bannen,Died of a broken foot and being starved,Season 3,And Now His Watch is Ended ,Episode 4
